"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.762699546E0,-8.809543848E-1,1.799101830E-1,-1.091929913E0,1.414481967E0
3.779127585E0,-9.364871383E-1,1.571159363E-1,-5.692548752E-1,1.107133547E0
3.795565625E0,-7.943156958E-1,3.228731155E-1,2.096557617E-2,8.576852737E-1
3.812004042E0,-5.711832643E-1,7.130331993E-1,4.980564117E-1,1.040541616E0
3.828435693E0,-3.655549884E-1,1.069798470E0,1.270397186E0,1.700590552E0
3.844869937E0,-1.402396858E-1,1.099962950E0,2.248963356E0,2.507473198E0
3.861304529E0,-1.187391803E-1,9.853992462E-1,3.328274727E0,3.473114355E0
3.877737899E0,-1.997150928E-1,9.986445904E-1,3.869204521E0,4.000989973E0
3.894172073E0,-1.367079318E-1,1.044941902E0,3.285231590E0,3.450121627E0
3.910606247E0,1.331525743E-1,1.061943531E0,2.760259628E0,2.960487610E0
3.927039933E0,6.806055903E-1,9.353868961E-1,2.944237709E0,3.163338158E0
3.943472277E0,1.010190368E0,7.769150734E-1,3.352624893E0,3.586666319E0
3.959911252E0,1.082419991E0,2.954549789E-1,3.789214134E0,3.951843929E0
3.976342567E0,1.184093237E0,-5.513846874E-1,4.068572998E0,4.273100526E0
3.992776823E0,1.367678285E0,-1.494147062E0,3.530800819E0,4.070574132E0
4.009211057E0,1.672628522E0,-2.283979416E0,2.203238487E0,3.587270268E0
4.025632465E0,1.927073121E0,-2.576013565E0,7.941360474E-1,3.313624717E0
4.042065774E0,2.053219318E0,-2.229197502E0,-2.414579391E-1,3.040285021E0
4.058505146E0,1.972008944E0,-1.355658054E0,-4.805469513E-1,2.440809990E0
4.074946512E0,1.640840530E0,-5.248653889E-1,-6.088590622E-1,1.827170129E0
4.091370514E0,1.116307974E0,-3.376793861E-2,-9.112787247E-1,1.441427307E0
4.107815002E0,6.094728112E-1,-5.533480644E-2,-1.477847576E0,1.599547594E0
4.124249573E0,2.548853159E-1,-4.777791500E-1,-2.230666637E0,2.295454876E0
4.140683269E0,-3.393234313E-2,-9.266581535E-1,-2.791025162E0,2.941031824E0
4.157117280E0,-1.370285898E-1,-1.337120771E0,-3.167676449E0,3.441052583E0
4.173551394E0,-1.158027798E-1,-1.583340406E0,-3.365210056E0,3.720889121E0
4.189982455E0,6.910984218E-2,-1.537289619E0,-3.410779476E0,3.741851437E0
4.206419415E0,2.595941424E-1,-1.260399580E0,-3.211873055E0,3.460075828E0
4.222853977E0,3.329818249E-1,-8.232171535E-1,-3.174757481E0,3.296611660E0
4.239287835E0,3.950791955E-1,-4.939079285E-1,-3.043872833E0,3.108889583E0
4.255722263E0,3.392989635E-1,-2.435107231E-1,-2.664204597E0,2.696740142E0
4.272155796E0,2.939696312E-1,-6.517648697E-3,-1.979190350E0,2.000913557E0
4.288588587E0,3.906233311E-1,5.454516411E-2,-1.089406490E0,1.158606172E0
4.305025467E0,5.442947745E-1,1.224110126E-1,-3.959951401E-1,6.841442893E-1
4.321455023E0,6.500085592E-1,2.659504414E-1,-6.587314606E-2,7.053935325E-1
4.337891871E0,6.247925758E-1,5.536851883E-1,3.704261780E-2,8.356465797E-1
4.354323472E0,5.048761368E-1,7.625095844E-1,1.920776367E-1,9.344595221E-1
4.370751888E0,5.006852150E-1,9.326059818E-1,5.572662354E-1,1.196237961E0
4.387194445E0,5.546458364E-1,9.647827148E-1,1.028948784E0,1.515642864E0
4.403617633E0,7.117354870E-1,9.150533676E-1,1.945610046E0,2.264793262E0
4.420062549E0,7.874380350E-1,1.000231981E0,3.241914749E0,3.482891603E0
4.436491555E0,8.058835268E-1,1.228904009E0,4.321396828E0,4.564441243E0
4.452931568E0,5.477812290E-1,1.651996851E0,4.336860657E0,4.673063045E0
4.469353901E0,1.464239359E-1,2.164811611E0,3.694799423E0,4.284786116E0
4.485798929E0,-2.855208814E-1,2.427498817E0,3.214262009E0,4.038038254E0
4.502232788E0,-2.265363634E-1,1.730082989E0,3.611948967E0,4.011319136E0
4.518667073E0,-1.434110552E-1,5.594806671E-1,4.203833580E0,4.243324418E0
4.535100708E0,-1.062255949E-1,-5.619056225E-1,4.169521332E0,4.208554377E0
4.551535371E0,-3.748276830E-1,-1.392658234E0,3.255204201E0,3.560385813E0
4.567965923E0,-7.441236973E-1,-1.732795000E0,1.444925308E0,2.375733094E0
4.584403261E0,-8.029135466E-1,-1.890675545E0,-4.552946091E-1,2.103952794E0
4.600837038E0,-7.586887479E-1,-1.894661427E0,-1.918527126E0,2.801088516E0
4.617271599E0,-7.041419744E-1,-1.880393505E0,-2.569175720E0,3.260729908E0
4.633702833E0,-4.599273205E-1,-2.079086781E0,-2.176362991E0,3.044780920E0
4.650142389E0,-1.589402556E-1,-2.354451180E0,-1.514172077E0,2.803822291E0
4.666573205E0,2.133418024E-1,-2.582163095E0,-8.690929413E-1,2.732837997E0
4.683008071E0,2.155071199E-1,-2.474425316E0,-9.083890915E-1,2.644691798E0
4.699438501E0,-9.093956649E-2,-2.052114725E0,-1.794894695E0,2.727836472E0
4.715859573E0,-2.489111423E-1,-1.675711632E0,-2.751171112E0,3.230930008E0
